locus_tag	type	contig	start	end	strand	length	product	score	inference	db_xref	gene	operon	note
BSUB_01152	CDS	NC_000964.3	1207597	1207788	+	191	ComZ	113.5	protein motif:Pfam-A	Pfam:PF10815.14		OP_0250:4/4	
BSUB_01153	CDS	NC_000964.3	1207818	1208051	-	233	hypothetical protein	33.7	ab initio prediction:Prodigal				
BSUB_01154	CDS	NC_000964.3	1208222	1209160	+	938	ACP_syn_III_C	127.0	protein motif:Pfam-A	Pfam:PF08541.17		OP_0251:1/4	
BSUB_01155	CDS	NC_000964.3	1209183	1210424	+	1241	ketoacyl-synt	202.8	protein motif:Pfam-A	Pfam:PF00109.33		OP_0251:2/4	signal_peptide:1..31;score=1.96;h_max=2.09
	signal_peptide	NC_000964.3	1209183	1209275	+	92	signal peptide (BSUB_01155)	2.0	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01155;cleavage_site=31
BSUB_01156	CDS	NC_000964.3	1210500	1211285	+	785	DUF2268	230.8	protein motif:Pfam-A	Pfam:PF10026.16		OP_0251:3/4	
BSUB_01157	CDS	NC_000964.3	1211477	1212463	+	986	ABC_tran	109.3	protein motif:Pfam-A	Pfam:PF00005.34		OP_0251:4/4	
BSUB_01158	CDS	NC_000964.3	1212460	1213449	+	989	ABC_tran	125.9	protein motif:Pfam-A	Pfam:PF00005.34		OP_0252:1/2	
BSUB_01159	CDS	NC_000964.3	1213537	1214028	+	491	SBP_bac_5	59.1	protein motif:Pfam-A	Pfam:PF00496.28		OP_0252:2/2	signal_peptide:1..18;score=2.25;h_max=3.38
	signal_peptide	NC_000964.3	1213537	1213590	+	53	signal peptide (BSUB_01159)	2.2	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01159;cleavage_site=18
BSUB_01160	CDS	NC_000964.3	1214016	1215167	+	1151	SBP_bac_5	248.0	protein motif:Pfam-A	Pfam:PF00496.28		OP_0253:1/4	
BSUB_01161	CDS	NC_000964.3	1215243	1216193	+	950	BPD_transp_1	158.9	protein motif:Pfam-A	Pfam:PF00528.28		OP_0253:2/4	
BSUB_01162	CDS	NC_000964.3	1216210	1217121	+	911	BPD_transp_1	113.8	protein motif:Pfam-A	Pfam:PF00528.28		OP_0253:3/4	
BSUB_01163	CDS	NC_000964.3	1217326	1218078	+	752	DUF3603	362.2	protein motif:Pfam-A	Pfam:PF12227.14		OP_0253:4/4	
BSUB_01164	CDS	NC_000964.3	1218113	1219105	-	992	tRNA-synt_1b	270.5	protein motif:Pfam-A	Pfam:PF00579.32			
BSUB_01165	CDS	NC_000964.3	1219849	1221486	+	1637	SBP_bac_5	319.0	protein motif:Pfam-A	Pfam:PF00496.28		OP_0254:1/4	signal_peptide:1..22;score=2.69;h_max=3.1
	signal_peptide	NC_000964.3	1219849	1219914	+	65	signal peptide (BSUB_01165)	2.7	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01165;cleavage_site=22
BSUB_01166	CDS	NC_000964.3	1221594	1222529	+	935	BPD_transp_1	143.0	protein motif:Pfam-A	Pfam:PF00528.28		OP_0254:2/4	signal_peptide:1..32;score=2.77;h_max=3.48
	signal_peptide	NC_000964.3	1221594	1221689	+	95	signal peptide (BSUB_01166)	2.8	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01166;cleavage_site=32
BSUB_01167	CDS	NC_000964.3	1222533	1223450	+	917	BPD_transp_1	116.6	protein motif:Pfam-A	Pfam:PF00528.28		OP_0254:3/4	
BSUB_01168	CDS	NC_000964.3	1223464	1224531	+	1067	ABC_tran	108.6	protein motif:Pfam-A	Pfam:PF00005.34		OP_0254:4/4	
BSUB_01169	CDS	NC_000964.3	1224524	1225450	+	926	ABC_tran	123.3	protein motif:Pfam-A	Pfam:PF00005.34		OP_0255:1/4	
BSUB_01170	CDS	NC_000964.3	1225665	1226774	+	1109	MFS_1	60.4	protein motif:Pfam-A	Pfam:PF07690.22		OP_0255:2/4	
BSUB_01171	CDS	NC_000964.3	1226938	1227516	+	578	hypothetical protein	83.6	ab initio prediction:Prodigal			OP_0255:3/4	
BSUB_01172	CDS	NC_000964.3	1227697	1228092	+	395	ArsC	103.2	protein motif:Pfam-A	Pfam:PF03960.22		OP_0255:4/4	
BSUB_01173	CDS	NC_000964.3	1228135	1228791	-	656	TerC	171.6	protein motif:Pfam-A	Pfam:PF03741.23			signal_peptide:1..30;score=2.78;h_max=3.5
	signal_peptide	NC_000964.3	1228702	1228791	-	89	signal peptide (BSUB_01173)	2.8	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01173;cleavage_site=30
BSUB_01174	CDS	NC_000964.3	1229068	1229724	+	656	MecA	223.1	protein motif:Pfam-A	Pfam:PF05389.18		OP_0256:1/3	
BSUB_01175	CDS	NC_000964.3	1229885	1231036	+	1151	CoiA_C	209.7	protein motif:Pfam-A	Pfam:PF25166.2		OP_0256:2/3	
BSUB_01176	CDS	NC_000964.3	1231083	1233095	+	2012	Peptidase_M3	328.0	protein motif:Pfam-A	Pfam:PF01432.27		OP_0256:3/3	signal_peptide:1..24;score=2.06;h_max=2.54
	signal_peptide	NC_000964.3	1231083	1231154	+	71	signal peptide (BSUB_01176)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01176;cleavage_site=24
BSUB_01177	CDS	NC_000964.3	1233133	1233300	-	167	YizD	54.3	protein motif:Pfam-A	Pfam:PF27185.1		OP_0257:1/3	
BSUB_01178	CDS	NC_000964.3	1233396	1233599	-	203	hypothetical protein	1.6	ab initio prediction:Prodigal			OP_0257:2/3	
BSUB_01179	CDS	NC_000964.3	1233614	1234513	-	899	Thioredoxin_5	239.6	protein motif:Pfam-A	Pfam:PF13743.13		OP_0257:3/3	
BSUB_01180	CDS	NC_000964.3	1234510	1234908	-	398	Bac_globin	113.6	protein motif:Pfam-A	Pfam:PF01152.28		OP_0258:1/3	
BSUB_01181	CDS	NC_000964.3	1235163	1235897	-	734	SLT	124.3	protein motif:Pfam-A	Pfam:PF01464.26		OP_0258:2/3	
BSUB_01182	CDS	NC_000964.3	1235912	1236484	-	572	CYTH	135.7	protein motif:Pfam-A	Pfam:PF01928.27		OP_0258:3/3	
BSUB_01183	CDS	NC_000964.3	1236609	1236977	+	368	UPF0738	143.4	protein motif:Pfam-A	Pfam:PF19785.5		OP_0259:1/4	
BSUB_01184	CDS	NC_000964.3	1237006	1237641	+	635	RelA_SpoT	123.2	protein motif:Pfam-A	Pfam:PF04607.24		OP_0259:2/4	
BSUB_01185	CDS	NC_000964.3	1237660	1238460	+	800	NAD_kinase_C	44.6	protein motif:Pfam-A	Pfam:PF20143.5		OP_0259:3/4	
BSUB_01186	CDS	NC_000964.3	1238475	1239374	+	899	PseudoU_synth_2	87.7	protein motif:Pfam-A	Pfam:PF00849.28		OP_0259:4/4	
BSUB_01187	CDS	NC_000964.3	1239387	1240121	-	734	Metallophos	62.8	protein motif:Pfam-A	Pfam:PF00149.34			
BSUB_01188	CDS	NC_000964.3	1240356	1242200	+	1844	Na_H_Exchanger	273.4	protein motif:Pfam-A	Pfam:PF00999.27		OP_0260:1/2	
BSUB_01189	CDS	NC_000964.3	1242449	1243159	+	710	TENA_THI-4	231.8	protein motif:Pfam-A	Pfam:PF03070.22		OP_0260:2/2	
BSUB_01190	CDS	NC_000964.3	1243134	1243751	+	617	TMP-TENI	133.4	protein motif:Pfam-A	Pfam:PF02581.24			
BSUB_01191	CDS	NC_000964.3	1243735	1244844	+	1109	DAO	240.7	protein motif:Pfam-A	Pfam:PF01266.31			signal_peptide:1..18;score=2.58;h_max=2.59
	signal_peptide	NC_000964.3	1243735	1243788	+	53	signal peptide (BSUB_01191)	2.6	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01191;cleavage_site=18
BSUB_01192	CDS	NC_000964.3	1244841	1245044	+	203	ThiS	46.4	protein motif:Pfam-A	Pfam:PF02597.27		OP_0261:1/2	
BSUB_01193	CDS	NC_000964.3	1245047	1245811	+	764	ThiG	374.5	protein motif:Pfam-A	Pfam:PF05690.21		OP_0261:2/2	
BSUB_01194	CDS	NC_000964.3	1245808	1246818	+	1010	ThiF	241.4	protein motif:Pfam-A	Pfam:PF00899.28		OP_0262:1/4	
BSUB_01195	CDS	NC_000964.3	1246837	1247652	+	815	Phos_pyr_kin	328.6	protein motif:Pfam-A	Pfam:PF08543.18		OP_0262:2/4	
BSUB_01196	CDS	NC_000964.3	1247788	1248564	+	776	adh_short_C2	302.1	protein motif:Pfam-A	Pfam:PF13561.13		OP_0262:3/4	
BSUB_01197	CDS	NC_000964.3	1248671	1249348	+	677	Spore_coat_CotO	222.8	protein motif:Pfam-A	Pfam:PF14153.12		OP_0262:4/4	
BSUB_01198	CDS	NC_000964.3	1249442	1249888	-	446	Spore-coat_CotZ	92.5	protein motif:Pfam-A	Pfam:PF10612.15		OP_0263:1/5	
BSUB_01199	CDS	NC_000964.3	1250016	1250504	-	488	Spore-coat_CotZ	90.3	protein motif:Pfam-A	Pfam:PF10612.15		OP_0263:2/5	
BSUB_01200	CDS	NC_000964.3	1250656	1251174	-	518	Coat_X	120.0	protein motif:Pfam-A	Pfam:PF07552.17		OP_0263:3/5	
BSUB_01201	CDS	NC_000964.3	1251273	1251590	-	317	hypothetical protein	47.5	ab initio prediction:Prodigal			OP_0263:4/5	
BSUB_01202	CDS	NC_000964.3	1251631	1252017	-	386	Coat_X	65.9	protein motif:Pfam-A	Pfam:PF07552.17		OP_0263:5/5	
BSUB_01203	CDS	NC_000964.3	1252177	1252533	+	356	DUF1360	124.1	protein motif:Pfam-A	Pfam:PF07098.17		OP_0264:1/4	
BSUB_01204	CDS	NC_000964.3	1252815	1253021	+	206	hypothetical protein	21.8	ab initio prediction:Prodigal			OP_0264:2/4	
BSUB_01205	CDS	NC_000964.3	1253103	1253252	+	149	YjcZ_2	43.4	protein motif:Pfam-A	Pfam:PF09680.16		OP_0264:3/4	
BSUB_01206	CDS	NC_000964.3	1253385	1253639	+	254	SpoVIF	103.8	protein motif:Pfam-A	Pfam:PF14069.12		OP_0264:4/4	
BSUB_01207	CDS	NC_000964.3	1253713	1255992	-	2279	UvrD-helicase	254.9	protein motif:Pfam-A	Pfam:PF00580.28			
BSUB_01208	CDS	NC_000964.3	1256109	1256363	+	254	hypothetical protein	23.8	ab initio prediction:Prodigal				
BSUB_01209	CDS	NC_000964.3	1256436	1256858	-	422	Acetyltransf_10	77.2	protein motif:Pfam-A	Pfam:PF13673.14		OP_0265:1/3	
BSUB_01210	CDS	NC_000964.3	1256862	1257377	-	515	2_5_RNA_ligase2	84.5	protein motif:Pfam-A	Pfam:PF13563.13		OP_0265:2/3	
BSUB_01211	CDS	NC_000964.3	1257414	1258136	-	722	Esterase	229.2	protein motif:Pfam-A	Pfam:PF00756.27		OP_0265:3/3	
BSUB_01212	CDS	NC_000964.3	1258468	1259613	+	1145	Cys_Met_Meta_PP	481.6	protein motif:Pfam-A	Pfam:PF01053.27			
BSUB_01213	CDS	NC_000964.3	1259606	1260778	+	1172	Cys_Met_Meta_PP	523.7	protein motif:Pfam-A	Pfam:PF01053.27			
BSUB_01214	CDS	NC_000964.3	1260811	1261356	-	545	Acetyltransf_3	93.0	protein motif:Pfam-A	Pfam:PF13302.14		OP_0266:1/2	
BSUB_01215	CDS	NC_000964.3	1261426	1262616	-	1190	DUF819	477.7	protein motif:Pfam-A	Pfam:PF05684.18		OP_0266:2/2	signal_peptide:1..21;score=2.06;h_max=2.5
	signal_peptide	NC_000964.3	1262554	1262616	-	62	signal peptide (BSUB_01215)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01215;cleavage_site=21
BSUB_t0056	tRNA	NC_000964.3	1262788	1262862	+	74	tRNA-Val		COORDINATES:profile:Aragorn				
BSUB_01216	CDS	NC_000964.3	1263473	1263631	+	158	hypothetical protein	10.9	ab initio prediction:Prodigal				
BSUB_01217	CDS	NC_000964.3	1263702	1264931	-	1229	Amidase_6	87.9	protein motif:Pfam-A	Pfam:PF12671.14			signal_peptide:1..26;score=2.14;h_max=2.86
	signal_peptide	NC_000964.3	1264854	1264931	-	77	signal peptide (BSUB_01217)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01217;cleavage_site=26
BSUB_01218	CDS	NC_000964.3	1265057	1265377	+	320	YjcN	93.7	protein motif:Pfam-A	Pfam:PF27204.1		OP_0267:1/9	signal_peptide:1..34;score=2.3;h_max=3.61
	signal_peptide	NC_000964.3	1265057	1265158	+	101	signal peptide (BSUB_01218)	2.3	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01218;cleavage_site=34
BSUB_01219	CDS	NC_000964.3	1265530	1265661	+	131	hypothetical protein	4.6	ab initio prediction:Prodigal			OP_0267:2/9	
BSUB_01220	CDS	NC_000964.3	1265680	1265850	+	170	hypothetical protein	11.0	ab initio prediction:Prodigal			OP_0267:3/9	
BSUB_01221	CDS	NC_000964.3	1265887	1266348	+	461	hypothetical protein	52.1	ab initio prediction:Prodigal			OP_0267:4/9	
BSUB_01222	CDS	NC_000964.3	1266614	1267117	+	503	hypothetical protein	37.9	ab initio prediction:Prodigal			OP_0267:5/9	
BSUB_01223	CDS	NC_000964.3	1267129	1267413	+	284	YjcQ	99.1	protein motif:Pfam-A	Pfam:PF09639.17		OP_0267:6/9	
BSUB_01224	CDS	NC_000964.3	1267574	1268101	+	527	hypothetical protein	50.9	ab initio prediction:Prodigal			OP_0267:7/9	
BSUB_01225	CDS	NC_000964.3	1268311	1268592	+	281	hypothetical protein	38.9	ab initio prediction:Prodigal			OP_0267:8/9	
BSUB_01226	CDS	NC_000964.3	1268829	1269584	+	755	adh_short_C2	156.6	protein motif:Pfam-A	Pfam:PF13561.13		OP_0267:9/9	signal_peptide:1..23;score=2.4;h_max=1.81
	signal_peptide	NC_000964.3	1268829	1268897	+	68	signal peptide (BSUB_01226)	2.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01226;cleavage_site=23
BSUB_01227	CDS	NC_000964.3	1269733	1270080	-	347	Big_2	81.6	protein motif:Pfam-A	Pfam:PF02368.25			signal_peptide:1..24;score=2.51;h_max=2.29
	signal_peptide	NC_000964.3	1270009	1270080	-	71	signal peptide (BSUB_01227)	2.5	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01227;cleavage_site=24
BSUB_01228	CDS	NC_000964.3	1270631	1272577	+	1946	PRD	133.4	protein motif:Pfam-A	Pfam:PF00874.26		OP_0268:1/4	
BSUB_01229	CDS	NC_000964.3	1272725	1274677	+	1952	PTS_EIIA_2	128.4	protein motif:Pfam-A	Pfam:PF00359.28		OP_0268:2/4	signal_peptide:1..16;score=1.87;h_max=1.66
	signal_peptide	NC_000964.3	1272725	1272772	+	47	signal peptide (BSUB_01229)	1.9	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01229;cleavage_site=16
BSUB_01230	CDS	NC_000964.3	1274692	1275639	+	947	MPI_cupin_dom	93.1	protein motif:Pfam-A	Pfam:PF21621.4		OP_0268:3/4	
BSUB_01231	CDS	NC_000964.3	1275878	1276291	+	413	DUF2992	157.6	protein motif:Pfam-A	Pfam:PF11208.14		OP_0268:4/4	signal_peptide:1..26;score=1.95;h_max=2.02
	signal_peptide	NC_000964.3	1275878	1275955	+	77	signal peptide (BSUB_01231)	1.9	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01231;cleavage_site=26
BSUB_01232	CDS	NC_000964.3	1276337	1276843	-	506	Acetyltransf_3	69.5	protein motif:Pfam-A	Pfam:PF13302.14		OP_0269:1/2	
BSUB_01233	CDS	NC_000964.3	1277062	1277457	-	395	YjdH	101.9	protein motif:Pfam-A	Pfam:PF27479.1		OP_0269:2/2	
BSUB_01234	CDS	NC_000964.3	1277686	1278165	+	479	tRNA_edit	74.0	protein motif:Pfam-A	Pfam:PF04073.21			
BSUB_01235	CDS	NC_000964.3	1278205	1278399	-	194	DUF4177	65.4	protein motif:Pfam-A	Pfam:PF13783.12		OP_0270:1/2	
BSUB_01236	CDS	NC_000964.3	1278565	1278894	-	329	DUF4306	119.1	protein motif:Pfam-A	Pfam:PF14154.12		OP_0270:2/2	signal_peptide:1..22;score=2.14;h_max=2.88
	signal_peptide	NC_000964.3	1278829	1278894	-	65	signal peptide (BSUB_01236)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01236;cleavage_site=22
BSUB_01237	CDS	NC_000964.3	1279514	1280476	-	962	UbiA	203.2	protein motif:Pfam-A	Pfam:PF01040.24		OP_0271:1/2	
BSUB_01238	CDS	NC_000964.3	1280626	1280874	-	248	hypothetical protein	24.6	ab initio prediction:Prodigal			OP_0271:2/2	
BSUB_01239	CDS	NC_000964.3	1281131	1282531	+	1400	Polysacc_deac_1	139.7	protein motif:Pfam-A	Pfam:PF01522.27			signal_peptide:1..19;score=2.32;h_max=3.68
	signal_peptide	NC_000964.3	1281131	1281187	+	56	signal peptide (BSUB_01239)	2.3	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01239;cleavage_site=19
BSUB_01240	CDS	NC_000964.3	1282571	1283044	-	473	DUF2690	112.5	protein motif:Pfam-A	Pfam:PF10901.14		OP_0272:1/2	signal_peptide:1..26;score=2.78;h_max=3.5
	signal_peptide	NC_000964.3	1282967	1283044	-	77	signal peptide (BSUB_01240)	2.8	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01240;cleavage_site=26
BSUB_01241	CDS	NC_000964.3	1283169	1283336	-	167	YjfB_motility	64.7	protein motif:Pfam-A	Pfam:PF14070.12		OP_0272:2/2	
BSUB_01242	CDS	NC_000964.3	1283463	1284362	+	899	DUF2268	214.8	protein motif:Pfam-A	Pfam:PF10026.16			
BSUB_01243	CDS	NC_000964.3	1284371	1284649	-	278	DUF2809	92.8	protein motif:Pfam-A	Pfam:PF10990.14		OP_0273:1/2	
BSUB_01244	CDS	NC_000964.3	1284870	1285445	-	575	DUF4309	108.9	protein motif:Pfam-A	Pfam:PF14172.13		OP_0273:2/2	signal_peptide:1..22;score=2.47;h_max=2.12
	signal_peptide	NC_000964.3	1285380	1285445	-	65	signal peptide (BSUB_01244)	2.5	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01244;cleavage_site=22
BSUB_01245	CDS	NC_000964.3	1285591	1288548	+	2957	Molybdopterin	239.8	protein motif:Pfam-A	Pfam:PF00384.28			
BSUB_01246	CDS	NC_000964.3	1288541	1289101	+	560	DUF1641	48.4	protein motif:Pfam-A	Pfam:PF07849.17		OP_0274:1/3	
BSUB_01247	CDS	NC_000964.3	1289298	1289939	+	641	DUF4352	102.5	protein motif:Pfam-A	Pfam:PF11611.14		OP_0274:2/3	signal_peptide:1..18;score=2.34;h_max=3.77
	signal_peptide	NC_000964.3	1289298	1289351	+	53	signal peptide (BSUB_01247)	2.3	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01247;cleavage_site=18
BSUB_01248	CDS	NC_000964.3	1290027	1290644	+	617	Nudix_N	88.1	protein motif:Pfam-A	Pfam:PF12535.14		OP_0274:3/3	
BSUB_01249	CDS	NC_000964.3	1290675	1290953	-	278	hypothetical protein	36.2	ab initio prediction:Prodigal				
BSUB_01250	CDS	NC_000964.3	1291344	1292534	+	1190	p450	142.4	protein motif:Pfam-A	Pfam:PF00067.28		OP_0275:1/2	
BSUB_01251	CDS	NC_000964.3	1292557	1293735	+	1178	EryCIII-like_C	69.5	protein motif:Pfam-A	Pfam:PF06722.19		OP_0275:2/2	
BSUB_01252	CDS	NC_000964.3	1293776	1293964	-	188	DUF8096	89.7	protein motif:Pfam-A	Pfam:PF26372.1			
BSUB_04252	CDS	NC_000964.3	1294053	1294103	+	50	hypothetical protein	6.0	ab initio prediction:Darwin:MiniGeneHunter			OP_0276:1/2	small_orf;rbs_score=6.0
BSUB_01253	CDS	NC_000964.3	1294138	1294950	+	812	HEM4	143.3	protein motif:Pfam-A	Pfam:PF02602.21		OP_0276:2/2	
BSUB_01254	CDS	NC_000964.3	1294996	1295748	-	752	UPF0014	253.9	protein motif:Pfam-A	Pfam:PF03649.19		OP_0277:1/3	
BSUB_01255	CDS	NC_000964.3	1295748	1296500	-	752	ABC_tran	98.5	protein motif:Pfam-A	Pfam:PF00005.34		OP_0277:2/3	
BSUB_01256	CDS	NC_000964.3	1296620	1297594	-	974	EmrE	456.4	protein motif:Pfam-A	Pfam:PF13536.14		OP_0277:3/3	signal_peptide:1..28;score=2.19;h_max=3.09
	signal_peptide	NC_000964.3	1297511	1297594	-	83	signal peptide (BSUB_01256)	2.2	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01256;cleavage_site=28
BSUB_01257	CDS	NC_000964.3	1297726	1298223	+	497	hypothetical protein	56.5	ab initio prediction:Prodigal				
BSUB_01258	CDS	NC_000964.3	1298612	1299034	+	422	hypothetical protein	74.5	ab initio prediction:Prodigal			OP_0278:1/7	
BSUB_01259	CDS	NC_000964.3	1299074	1300252	+	1178	Pyr_redox_2	136.1	protein motif:Pfam-A	Pfam:PF07992.21		OP_0278:2/7	signal_peptide:1..18;score=1.96;h_max=2.09
	signal_peptide	NC_000964.3	1299074	1299127	+	53	signal peptide (BSUB_01259)	2.0	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01259;cleavage_site=18
BSUB_01260	CDS	NC_000964.3	1300462	1301871	+	1409	UxaC	777.6	protein motif:Pfam-A	Pfam:PF02614.21		OP_0278:3/7	
BSUB_01261	CDS	NC_000964.3	1301939	1303318	+	1379	MFS_2	295.5	protein motif:Pfam-A	Pfam:PF13347.13		OP_0278:4/7	
BSUB_01262	CDS	NC_000964.3	1303423	1304436	+	1013	Ldh_2	411.6	protein motif:Pfam-A	Pfam:PF02615.20		OP_0278:5/7	
BSUB_01263	CDS	NC_000964.3	1304442	1305461	+	1019	ADH_zinc_N	116.1	protein motif:Pfam-A	Pfam:PF00107.33		OP_0278:6/7	
BSUB_01264	CDS	NC_000964.3	1305486	1306565	+	1079	UxuA	578.0	protein motif:Pfam-A	Pfam:PF03786.20		OP_0278:7/7	
BSUB_01265	CDS	NC_000964.3	1306562	1307398	+	836	adh_short	147.0	protein motif:Pfam-A	Pfam:PF00106.32		OP_0279:1/4	
BSUB_01266	CDS	NC_000964.3	1307446	1308714	+	1268	MFS_1	213.0	protein motif:Pfam-A	Pfam:PF07690.22		OP_0279:2/4	signal_peptide:1..28;score=2.26;h_max=3.44
	signal_peptide	NC_000964.3	1307446	1307529	+	83	signal peptide (BSUB_01266)	2.3	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01266;cleavage_site=28
BSUB_01267	CDS	NC_000964.3	1308802	1309803	+	1001	Peripla_BP_3	118.7	protein motif:Pfam-A	Pfam:PF13377.13		OP_0279:3/4	
BSUB_01268	CDS	NC_000964.3	1309880	1311322	+	1442	Mannitol_dh	124.0	protein motif:Pfam-A	Pfam:PF01232.30		OP_0279:4/4	
BSUB_01269	CDS	NC_000964.3	1311319	1312812	+	1493	GD_AH_C	331.6	protein motif:Pfam-A	Pfam:PF20629.3			signal_peptide:1..30;score=2.39;h_max=1.74
	signal_peptide	NC_000964.3	1311319	1311408	+	89	signal peptide (BSUB_01269)	2.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01269;cleavage_site=30
BSUB_01270	CDS	NC_000964.3	1312851	1313615	-	764	TauE	164.8	protein motif:Pfam-A	Pfam:PF01925.26		OP_0280:1/2	
BSUB_01271	CDS	NC_000964.3	1313840	1314304	-	464	DinB	152.0	protein motif:Pfam-A	Pfam:PF05163.18		OP_0280:2/2	
BSUB_01272	CDS	NC_000964.3	1314453	1315724	+	1271	AAA	91.6	protein motif:Pfam-A	Pfam:PF00004.36		OP_0281:1/2	
BSUB_01273	CDS	NC_000964.3	1315875	1317005	+	1130	RapH_N	92.3	protein motif:Pfam-A	Pfam:PF18801.7		OP_0281:2/2	
BSUB_01274	CDS	NC_000964.3	1316995	1317129	+	134	PhrA_inhibitor	116.5	protein motif:Pfam-A	Pfam:PF28201.1			signal_peptide:1..17;score=2.17;h_max=3.0
	signal_peptide	NC_000964.3	1316995	1317045	+	50	signal peptide (BSUB_01274)	2.2	ab initio prediction:Darwin:SignalScanner				parent=BSUB_01274;cleavage_site=17
BSUB_01275	CDS	NC_000964.3	1317157	1317414	-	257	YCII	61.2	protein motif:Pfam-A	Pfam:PF03795.21			
BSUB_01276	CDS	NC_000964.3	1317535	1318488	+	953	Amidase_2	74.0	protein motif:Pfam-A	Pfam:PF01510.31			
BSUB_01277	CDS	NC_000964.3	1318528	1318905	-	377	bPH_1	175.7	protein motif:Pfam-A	Pfam:PF08000.18			
BSUB_01278	CDS	NC_000964.3	1319011	1319613	+	602	Gamma_PGA_hydro	229.0	protein motif:Pfam-A	Pfam:PF05908.17		OP_0282:1/2	
BSUB_01279	CDS	NC_000964.3	1319690	1320526	+	836	Mn_catalase	464.4	protein motif:Pfam-A	Pfam:PF05067.19		OP_0282:2/2	
BSUB_01280	CDS	NC_000964.3	1320570	1321166	-	596	Peptidase_M78	98.5	protein motif:Pfam-A	Pfam:PF06114.20		OP_0283:1/2	
BSUB_01281	CDS	NC_000964.3	1321329	1321670	-	341	HTH_3	58.7	protein motif:Pfam-A	Pfam:PF01381.29		OP_0283:2/2	
BSUB_01282	CDS	NC_000964.3	1321848	1322027	+	179	hypothetical protein	17.1	ab initio prediction:Prodigal				
BSUB_01283	CDS	NC_000964.3	1322014	1322850	+	836	hypothetical protein	67.8	ab initio prediction:Prodigal			OP_0284:1/4	
BSUB_01284	CDS	NC_000964.3	1322915	1323550	+	635	hypothetical protein	46.4	ab initio prediction:Prodigal			OP_0284:2/4	
BSUB_01285	CDS	NC_000964.3	1323550	1323717	+	167	hypothetical protein	14.7	ab initio prediction:Prodigal			OP_0284:3/4	
BSUB_01286	CDS	NC_000964.3	1323802	1324152	+	350	Phage_P22_Y8K6	46.8	protein motif:Pfam-A	Pfam:PF27050.1		OP_0284:4/4	
BSUB_01287	CDS	NC_000964.3	1324149	1324355	+	206	PBSX_XtrA	93.3	protein motif:Pfam-A	Pfam:PF17356.8		OP_0285:1/3	
BSUB_01288	CDS	NC_000964.3	1324471	1324980	+	509	Sigma70_r4_2	54.8	protein motif:Pfam-A	Pfam:PF08281.19		OP_0285:2/3	
BSUB_01289	CDS	NC_000964.3	1325096	1325893	+	797	Terminase_2	170.3	protein motif:Pfam-A	Pfam:PF03592.22		OP_0285:3/3	
BSUB_01290	CDS	NC_000964.3	1325890	1327191	+	1301	Terminase_3	283.7	protein motif:Pfam-A	Pfam:PF04466.20		OP_0286:1/5	
BSUB_01291	CDS	NC_000964.3	1327195	1328682	+	1487	Phage_portal	49.6	protein motif:Pfam-A	Pfam:PF04860.18		OP_0286:2/5	
BSUB_01292	CDS	NC_000964.3	1328702	1329529	+	827	Peptidase_S78_2	190.8	protein motif:Pfam-A	Pfam:PF14550.12		OP_0286:3/5	
BSUB_01293	CDS	NC_000964.3	1329555	1330490	+	935	hypothetical protein	128.7	ab initio prediction:Prodigal			OP_0286:4/5	
BSUB_01294	CDS	NC_000964.3	1330512	1330895	+	383	DUF3199	211.1	protein motif:Pfam-A	Pfam:PF11436.15		OP_0286:5/5	
BSUB_01295	CDS	NC_000964.3	1330892	1331248	+	356	DUF3599	210.5	protein motif:Pfam-A	Pfam:PF12206.15			
BSUB_01296	CDS	NC_000964.3	1331245	1331730	+	485	HK97-gp10_like	45.1	protein motif:Pfam-A	Pfam:PF04883.18		OP_0287:1/5	
BSUB_01297	CDS	NC_000964.3	1331743	1332183	+	440	hypothetical protein	45.4	ab initio prediction:Prodigal			OP_0287:2/5	
BSUB_01298	CDS	NC_000964.3	1332402	1333802	+	1400	Phage_sheath_1	138.1	protein motif:Pfam-A	Pfam:PF04984.20		OP_0287:3/5	
